date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:05	26488/26488	---M--	200	added ('OK')	image/png	etag:%223087db8c-6778-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GEventHierarchy.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GEventHierarchy.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GEvent-class.html)
15:48:06	21314/21314	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:07%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gevents-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gevents-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gevents.html)
15:48:07	10573/10573	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:09%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/ginteractors-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/ginteractors-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/ginteractors.html)
15:48:09	45132/45132	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:09%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gobjects-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gobjects-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gobjects.html)
15:48:10	29860/29860	---M--	200	added ('OK')	image/png	etag:%223087db90-74a4-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GInteractorHierarchy.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GInteractorHierarchy.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/GInteractor-class.html)
15:48:11	29539/29539	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:12%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/graph-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/graph-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/graph.html)
15:48:12	15305/15305	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:13%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/grid-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/grid-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/grid.html)
15:48:13	3034/3034	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:14%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gtimer-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gtimer-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gtimer.html)
15:48:13	26411/26411	---M--	200	added ('OK')	image/png	etag:%223087db8a-672b-4d9290e42fbc0%22	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GEventHierarchy-h.png	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/images/GEventHierarchy-h.png	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gevents.html)
15:48:13	9746/9746	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:14%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gtypes-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gtypes-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gtypes.html)
15:48:13	16511/16511	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:15%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gwindow-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gwindow-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/gwindow.html)
15:48:15	19152/19152	---M--	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202016%2011:48:15%20GMT	http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/hashmap-h.html	C:/My%20Web%20Sites/Stanford%20C++%20Lib%20Doc/web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/hashmap-h.html	(from http://web.stanford.edu/class/archive/cs/cs106b/cs106b.1138/materials/cppdoc/hashmap.html)
